Data (ano/mês/dia),Distância entre a Terra e a Lua (em UA), Constelação que a Lua estará
2019/9/6, 0.002569083822891116, ('Oph' - 'Ophiuchus')
2019/9/7, 0.002605616580694914, ('Oph' - 'Ophiuchus')
2019/9/8, 0.0026377385947853327, ('Sgr' - 'Sagittarius')
2019/9/9, 0.00266449898481369, ('Sgr' - 'Sagittarius')
2019/9/10, 0.0026855228934437037, ('Cap' - 'Capricornus')
2019/9/11, 0.0027008564211428165, ('Cap' - 'Capricornus')
2019/9/12, 0.0027107992209494114, ('Cap' - 'Capricornus')
2019/9/13, 0.002715743612498045, ('Aqr' - 'Aquarius')
2019/9/14, 0.0027160414028912783, ('Aqr' - 'Aquarius')
2019/9/15, 0.0027119116857647896, ('Psc' - 'Pisces')
2019/9/16, 0.0027033996302634478, ('Cet' - 'Cetus')
2019/9/17, 0.002690392779186368, ('Psc' - 'Pisces')
2019/9/18, 0.0026726911310106516, ('Cet' - 'Cetus')
2019/9/19, 0.0026501286774873734, ('Ari' - 'Aries')
2019/9/20, 0.0026227261405438185, ('Tau' - 'Taurus')
2019/9/21, 0.0025908632669597864, ('Tau' - 'Taurus')
2019/9/22, 0.0025554399471729994, ('Tau' - 'Taurus')
2019/9/23, 0.002517996821552515, ('Gem' - 'Gemini')
2019/9/24, 0.002480750437825918, ('Gem' - 'Gemini')
2019/9/25, 0.0024465005844831467, ('Cnc' - 'Cancer')
2019/9/26, 0.002418367424979806, ('Leo' - 'Leo')
2019/9/27, 0.0023993575014173985, ('Leo' - 'Leo')
2019/9/28, 0.002391824498772621, ('Vir' - 'Virgo')
2019/9/29, 0.0023969628382474184, ('Vir' - 'Virgo')
2019/9/30, 0.0024145091883838177, ('Vir' - 'Virgo')
2019/10/1, 0.002442765049636364, ('Lib' - 'Libra')
2019/10/2, 0.002478930400684476, ('Lib' - 'Libra')
2019/10/3, 0.0025196224451065063, ('Sco' - 'Scorpius')
2019/10/4, 0.0025614083278924227, ('Oph' - 'Ophiuchus')
2019/10/5, 0.002601226791739464, ('Sgr' - 'Sagittarius')
2019/10/6, 0.0026366538368165493, ('Sgr' - 'Sagittarius')
2019/10/7, 0.0026660123839974403, ('Sgr' - 'Sagittarius')
2019/10/8, 0.0026883678510785103, ('Cap' - 'Capricornus')
2019/10/9, 0.00270344247110188, ('Cap' - 'Capricornus')
2019/10/10, 0.0027114851400256157, ('Aqr' - 'Aquarius')
2019/10/11, 0.0027131158858537674, ('Aqr' - 'Aquarius')
2019/10/12, 0.0027091638185083866, ('Psc' - 'Pisces')
2019/10/13, 0.0027005132287740707, ('Cet' - 'Cetus')
2019/10/14, 0.0026879708748310804, ('Psc' - 'Pisces')
2019/10/15, 0.002672174945473671, ('Cet' - 'Cetus')
2019/10/16, 0.0026535512879490852, ('Ari' - 'Aries')
2019/10/17, 0.0026323338970541954, ('Tau' - 'Taurus')
2019/10/18, 0.0026086445432156324, ('Tau' - 'Taurus')
2019/10/19, 0.0025826268829405308, ('Tau' - 'Taurus')
2019/10/20, 0.0025546110700815916, ('Gem' - 'Gemini')
2019/10/21, 0.0025252823252230883, ('Gem' - 'Gemini')
2019/10/22, 0.0024958131834864616, ('Cnc' - 'Cancer')
2019/10/23, 0.0024679149501025677, ('Leo' - 'Leo')
2019/10/24, 0.0024437655229121447, ('Leo' - 'Leo')
2019/10/25, 0.0024257830809801817, ('Leo' - 'Leo')
2019/10/26, 0.002416255883872509, ('Vir' - 'Virgo')
2019/10/27, 0.0024168905802071095, ('Vir' - 'Virgo')
2019/10/28, 0.0024284024257212877, ('Vir' - 'Virgo')
2019/10/29, 0.002450281521305442, ('Lib' - 'Libra')
2019/10/30, 0.002480817260220647, ('Lib' - 'Libra')
2019/10/31, 0.0025173716712743044, ('Oph' - 'Ophiuchus')
2019/11/1, 0.0025568008422851562, ('Sgr' - 'Sagittarius')
2019/11/2, 0.002595900557935238, ('Sgr' - 'Sagittarius')
2019/11/3, 0.0026317781303077936, ('Sgr' - 'Sagittarius')
2019/11/4, 0.0026621061842888594, ('Cap' - 'Capricornus')
2019/11/5, 0.0026852560695260763, ('Cap' - 'Capricornus')
2019/11/6, 0.0027003351133316755, ('Aqr' - 'Aquarius')
2019/11/7, 0.0027071498334407806, ('Aqr' - 'Aquarius')
2019/11/8, 0.002706120489165187, ('Aqr' - 'Aquarius')
2019/11/9, 0.002698158845305443, ('Cet' - 'Cetus')
2019/11/10, 0.0026845205575227737, ('Cet' - 'Cetus')
2019/11/11, 0.002666640793904662, ('Psc' - 'Pisces')
2019/11/12, 0.0026459672953933477, ('Ari' - 'Aries')
2019/11/13, 0.0026238050777465105, ('Tau' - 'Taurus')
2019/11/14, 0.002601198386400938, ('Tau' - 'Taurus')
2019/11/15, 0.0025788689963519573, ('Tau' - 'Taurus')
2019/11/16, 0.002557231578975916, ('Gem' - 'Gemini')
2019/11/17, 0.0025364807806909084, ('Gem' - 'Gemini')
2019/11/18, 0.002516740933060646, ('Cnc' - 'Cancer')
2019/11/19, 0.002498242538422346, ('Cnc' - 'Cancer')
2019/11/20, 0.002481479663401842, ('Leo' - 'Leo')
2019/11/21, 0.0024673037696629763, ('Leo' - 'Leo')
